0	34443
1	18940
2	20312
3	21723
4	22786
5	24634
6	25723
7	27449
8	28932
9	30558
10	32600
11	34282
12	36176
13	37989
14	40165
15	42349
16	44377
17	45694
18	48505
19	50847
20	52870
21	55531
22	57947
23	60374
24	62639
25	65206
26	67840
27	70280
28	73060
29	75537
30	77876
31	80179
32	83327
33	85804
34	88613
35	90822
36	92397
37	95210
38	97382
39	100173
40	101788
41	104113
42	106955
43	107672
44	110385
45	112286
46	114421
47	115590
48	117601
49	119088
50	119939
51	121270
52	122762
53	123514
54	124313
55	124694
56	125702
57	125874
58	126388
59	126043
60	126957
61	126061
62	126148
63	125376
64	124990
65	124140
66	123241
67	122295
68	121698
69	119588
70	118242
71	117410
72	115797
73	114082
74	112412
75	110382
76	109034
77	106931
78	105175
79	101982
80	99556
81	97401
82	95283
83	92677
84	90932
85	88123
86	85037
87	82812
88	80229
89	77991
90	75879
91	72897
92	70209
93	67743
94	65427
95	62928
96	60179
97	58111
98	55850
99	52781
100	50931
101	48311
102	46270
103	43810
104	41956
105	39939
106	37742
107	35846
108	34420
109	32294
110	30829
111	28757
112	27177
113	25691
114	24274
115	22767
116	21518
117	19873
118	19088
119	17742
120	16421
121	15481
122	14633
123	13465
124	12399
125	11477
126	10837
127	10017
128	9382
129	8731
130	7986
131	7320
132	6933
133	6314
134	5763
135	5305
136	5010
137	4553
138	4080
139	3785
140	3444
141	3189
142	2940
143	2738
144	2473
145	2248
146	2119
147	1827
148	1731
149	1667
150	1560
151	1573
152	1540
153	1525
154	1616
155	1734
156	1937
157	2177
158	2577
159	3048
160	3411
161	3923
162	4599
163	5442
164	6219
165	7195
166	8182
167	9248
168	10641
169	11536
170	12847
171	14105
172	15076
173	16236
174	17181
175	17911
176	18830
177	19070
178	19770
179	20003
180	20176
181	19917
182	19562
183	18829
184	18125
185	17031
186	16102
187	14929
188	13892
189	12619
190	11367
191	10376
192	9211
193	8135
194	7094
195	5840
196	5244
197	4372
198	3515
199	3017
200	2436
201	2035
202	1675
203	1268
204	993
205	798
206	596
207	463
208	332
209	239
210	187
211	146
212	113
213	69
214	48
215	30
216	28
217	16
218	7
219	8
220	3
221	5
222	3
223	0
224	0
225	0
226	0
227	0
228	1
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
